G000.003+00.127 K   0.004   0.128  206   2160.301  2027.063  2335.819                        
G000.121-00.304 Q   0.122  -0.304   37   2414.187  2239.883  2617.239                        
G000.314-00.194 K   0.314  -0.194   26   2927.877  2521.448  3484.065                        
G000.484-00.900 Q   0.484  -0.899   27   2990.683  2591.781  3528.949                        
G000.519-00.051 K   0.520  -0.051  208   1254.426   628.000  5968.357                        
G003.826-01.048 Q   3.826  -1.047  161   1313.462  1235.133  1402.190                        
G006.160-00.608 K   6.160  -0.608   67   2617.228  2341.476  3006.253                        
G006.380-00.614 Q   6.380  -0.613   78   2809.654  2620.450  3027.560                        
G006.445-00.254 Q   6.445  -0.253   16   4919.000  4214.483  5880.161                        
G006.664-01.545 C   6.664  -1.545  201   1295.128  1207.216  1396.567                        
G006.915-02.304 G   6.915  -2.304  286   1342.672  1264.241  1436.486                        
G007.112-02.412 Q   7.113  -2.412  824   1232.065  1151.220  1324.877                        
G007.294-02.044 K   7.294  -2.043  306   1470.908  1401.878  1553.393                        
G007.812-00.618 K   7.812  -0.618  207   3857.339  3274.289  4671.653                        
G014.221-00.545 K  14.221  -0.544  111   1510.722  1407.277  1630.220                        
G014.250-00.013 Q  14.250  -0.013   42   2118.905  1866.548  2447.157                        
G014.301-01.026 C  14.302  -1.026   42   1613.842  1428.533  1852.766                        
G014.627-00.611 Q  14.627  -0.611   46   1440.033  1293.182  1623.538                        
G014.634-00.594 Q  14.634  -0.594   44   1185.816  1067.071  1333.611  1.8 0.1 1 parallax-wise
G014.977-00.958 Q  14.977  -0.958   96   1552.957  1407.235  1731.494                        
G015.329+00.073 Q  15.330   0.074   92   1656.999  1535.884  1798.364                        
G016.329-00.240 Q  16.329  -0.240   31   2564.663  2330.422  2849.541                        
G016.710+01.300 Q  16.710   1.301  189   1872.527  1631.336  2194.227                        
G017.117+00.555 Q  17.118   0.556  107   1589.246  1328.213  1972.365                        
G017.315+00.389 C  17.316   0.389   78   1819.358  1601.417  2103.597                        
G018.253-00.298 K  18.253  -0.298  205   4262.097  3275.097  5870.425  4.  0.4 0 visible/Kin
G018.669+01.965 K  18.670   1.965  272   2106.740  1935.961  2331.098  2.6 0.5 0 visible/Kin
G024.138+00.123 K  24.138   0.123   88   2250.253  1992.979  2580.913  8.9 2.9 0 HIEA+HISA/Kin
G026.443+01.741 K  26.443   1.742  201   2591.922  2463.821  2746.573  2.7 0.4 0 visible/Kin
G026.802+03.526 K  26.803   3.527   69    372.174   360.641   384.454  0.4 0.1 0 visible/Kin
G028.200-00.050 K  28.200  -0.050   60   3079.098  2609.516  3738.082  5.8 0.6 0 HISA(Mol)/kin
G028.392-00.263 Q  28.392  -0.263   45   2517.029  2303.870  2772.311                        
G028.704-00.374 C  28.704  -0.373   42   4023.440  3476.574  4757.318                        
G028.893-00.792 Q  28.893  -0.792   33   2491.984  2212.618  2848.815                        
G029.088-00.675 K  29.089  -0.674  407   2494.708  2301.058  2747.223                        
G029.413-00.182 Q  29.413  -0.182   37   3365.855  3021.226  3794.983                        
G030.468+00.394 K  30.468   0.394  346   1359.239   954.512  2271.569                        
G030.478-00.091 K  30.478  -0.091  183   2369.927  2089.739  2732.929                        
G030.613-00.617 K  30.613  -0.616  503    577.490   557.674   598.738                        
G030.642+00.001 Q  30.643   0.001   18   2074.167  1938.160  2230.190                        
G035.443-01.850 G  35.443  -1.850  124   2231.852  1953.790  2597.724                        
G059.321-00.223 K  59.321  -0.222  371   1928.552  1844.680  2023.922  4.3 1.8 0 TP/Kin
G060.913-00.140 Q  60.913  -0.139   20   1979.045  1862.864  2110.337                        
G065.615-05.711 Q  65.616  -5.711  148    875.238   837.103   916.943                        
G067.358-00.675 Q  67.358  -0.674  294   2294.767  2150.185  2459.672                        
G075.768+00.344 K  75.769   0.345  197   1719.995  1651.958  1796.496  3.8 0.4 1 parallax
G076.917+02.054 K  76.918   2.055  254   1646.852  1599.947  1705.292  1.5 0.1 1 parallax
G077.384-03.659 K  77.385  -3.659  361   1824.784  1713.747  1950.812  1.5 0.1 1 parallax
G077.977-00.004 K  77.977  -0.003  386    624.498   442.279  1044.845  1.5 0.1 1 parallax
G078.147+01.820 K  78.147   1.821  244   1714.164  1639.677  1795.587  1.5 0.1 1 parallax
G078.869+02.768 Q  78.870   2.768  126    892.578   868.223   918.313  1.5 0.1 1 parallax
G082.566+00.362 K  82.566   0.363  511   2880.399  2609.320  3249.514  1.5 0.1 1 parallax
G094.389-05.513 K  94.389  -5.512 1036    720.871   705.560   736.849                        
G104.546+01.255 K 104.546   1.256 1007   2252.244  2077.151  2458.663  3.1 1.3 0 OG/kin
G105.365+03.234 C 105.365   3.235  829    914.399   892.805   937.044                        
G105.401+09.886 C 105.402   9.886  138    873.709   854.687   893.582  0.9 0.1 1 parallax
G106.809+03.310 K 106.809   3.310  256   6623.490  5818.090  7661.711  7.  1.2 0 OG/Kin
G107.156-00.988 Q 107.157  -0.987   69   2473.927  2312.058  2659.471                        
G107.209-01.334 K 107.209  -1.334  326   2222.754  2083.399  2381.552  4.1 1.4 0 OG/Kin
G108.273-01.066 K 108.273  -1.065  195   2778.915  2587.085  3000.491  6.  1.2 0 OG/Kin
G108.394-01.046 Q 108.395  -1.046   34   3071.425  2824.273  3364.092                        
G109.621+02.312 Q 109.621   2.312  533    729.021   708.214   752.180                        
G110.199+00.016 Q 110.199   0.017  121   2959.524  2806.987  3129.144                        
G110.923+01.906 C 110.923   1.907  566    855.196   833.768   877.734                        
G111.286-00.660 K 111.286  -0.660  236   3789.944  3555.050  4056.966  3.4 0.2 1 parallax
G111.946+01.336 K 111.946   1.337  880   2632.240  2435.400  2862.615  4.7 1.3 0 OG/Kin
G113.566-00.698 Q 113.567  -0.697   77   2824.743  2630.639  3048.789                        
G113.569-00.657 Q 113.570  -0.656   77   3187.477  3000.674  3398.359                        
G113.614-00.615 G 113.614  -0.614  112   3248.734  3078.868  3437.904                        
G113.900-01.613 K 113.900  -1.612  327   2840.176  2623.114  3094.976  4.8 1.3 0 OG/Kin
G115.885-01.707 K 115.885  -1.707  406   3083.911  2850.436  3357.478  4.5 1.3 0 OG/Kin
G118.196+03.939 Q 118.196   3.940  982   1059.560  1018.036  1104.548                        
G119.024+03.027 Q 119.024   3.027  500    676.879   663.389   690.920                        
G120.348+01.968 K 120.348   1.969  231   2121.122  1999.845  2257.691  5.4 1.1 0 OG/Kin
G124.977-04.062 Q 124.978  -4.061  118   2655.075  2466.691  2873.555                        
G125.137-04.067 C 125.137  -4.067  197   2494.448  2304.967  2716.675                        
G126.664-00.801 K 126.664  -0.801  600    902.661   889.635   916.068                        
G127.098+01.862 Q 127.098   1.863  210    991.188   957.208  1027.621                        
G133.481+00.851 Q 133.482   0.851   81   2026.911  1886.758  2188.973                        
G133.704+01.173 G 133.704   1.174   80   2267.556  2123.321  2447.839                        
G133.724+01.132 G 133.724   1.132  227   2221.272  1937.754  2597.216                        
G133.739+01.186 G 133.739   1.186   80   2267.114  2009.564  2597.151  3.8 1.2 0 OG(Mol)/Kin
G133.781+01.428 K 133.781   1.428  178   1771.105  1581.724  2010.311  2.  0.1 1 parallax
G133.824+01.153 G 133.824   1.154  352   2331.613  2211.581  2483.150                        
G133.966+01.113 G 133.967   1.114   89   2038.620  1800.219  2346.809                        
G133.979+01.142 G 133.980   1.143  114   1723.177  1578.257  1912.652                        
G134.056+00.829 G 134.056   0.830  235   1969.531  1873.822  2080.486                        
G134.200+00.804 G 134.200   0.804  152   2304.517  2132.891  2505.311                        
G134.879-05.506 C 134.879  -5.505  171   1773.910  1676.352  1883.233                        
G136.117+02.058 K 136.117   2.058  108   5777.904  5079.789  6675.767  4.9 1.2 0 OG/Kin
G137.692+01.522 G 137.692   1.523  181   1703.556  1608.218  1810.644                        
G137.862+02.696 C 137.862   2.696  144   2193.110  2054.082  2351.822                        
G140.091+03.850 C 140.091   3.850  495    951.119  918.3700   986.244                        
G140.591-00.251 Q 140.591  -0.250   97   3085.242  2631.395  3709.138                        
G140.793+03.052 C 140.793   3.053  740   1468.777  1354.587  1603.481                        
G151.180+02.124 K 151.180   2.124  297   3532.458  3129.066  4047.930  4.5 1.5 0 OG/Kin
G151.609-00.233 K 151.609  -0.232  415   2596.738  2376.634  2860.142  9.4 2.8 0 OG/Kin
G159.143+03.257 G 159.143   3.258   73   2744.676  2412.750  3176.918                        
G162.296-02.324 C 162.296  -2.324  408   3596.913  2922.208  4604.005                        
G166.242+00.496 C 166.242   0.496  157   2011.231  1774.574  2317.876                        
G170.051+00.708 Q 170.051   0.709  370   1285.067  1194.722  1389.862                        
G173.331+02.372 K 173.331   2.373   81   1751.188  1628.385  1893.522                        
G173.599+02.803 K 173.599   2.804  438   1651.282  1543.982  1774.229                        
G173.937+00.298 K 173.937   0.298  514   2158.260  1888.709  2513.253                        
G189.830+00.417 K 189.830   0.418  199   2174.599  1828.402  2669.826  2.1 0.1 1 parallax
G190.049+00.538 K 190.049   0.539  174   1941.475  1703.320  2253.441                        
G190.977-00.851 Q 190.977  -0.850  757   2360.629  2122.728  2656.112                        
G192.499-00.142 K 192.499  -0.141  379   2668.345  2344.748  3089.448                        
G192.601-00.048 Q 192.601  -0.047   54   1637.016  1526.136  1764.843                        
G192.608-00.133 G 192.608  -0.133  137   1823.653  1731.684  1925.711                        
G192.638-00.008 K 192.638  -0.008  174   2376.906  2057.996  2805.491  1.6 0.1 1 parallax
G196.448-01.673 K 196.448  -1.673  302   3598.149  3258.457  4013.221  5.3 0.3 1 parallax
G197.786-02.320 K 197.786  -2.319  132   3637.850  3194.029  4215.316                        
G197.819-02.300 G 197.819  -2.300   64   3408.320  3158.679  3699.392                        
G201.326+00.299 Q 201.326   0.300  303    641.743   625.997   658.287                        
G201.666+00.667 Q 201.666   0.668  123    711.489   688.109   736.484                        
G201.768+00.511 Q 201.768   0.511  279    703.248   681.666   726.214                        
G206.072-16.343 Q 206.072 -16.342  380    432.309   421.970   443.158                        
G206.778-01.760 Q 206.778  -1.760  177   1486.288  1382.527  1606.498                        
G206.837-16.536 G 206.837 -16.536  291    396.722   388.258   405.556                        
G208.921-19.268 K 208.921 -19.268  312    515.567   504.884   526.704  0.4 0.1 1 parallax
G213.685-12.673 G 213.685 -12.673  221    896.424   847.814   950.823                        
G213.703-12.601 K 213.703 -12.601  241    769.241   742.687   797.727                        
G213.717-12.500 Q 213.717 -12.500  191    906.172   867.186   948.755                        
G213.833+00.618 K 213.833   0.619  159   3817.466  3266.941  4567.254  7.8 2.  0 OG/Kin
G217.307-00.042 Q 217.307  -0.042   49   2184.558  2048.008  2340.128  2.8 1.2 0 OG(Mol)/Kin
G217.629-00.178 K 217.629  -0.178  132   2005.941  1804.681  2255.966                        
G217.883-00.589 Q 217.883  -0.588  559   2024.513  1756.393  2384.635                        
G221.955-01.993 G 221.955  -1.992  136   3553.399  3002.681  4327.393  4.4 1.2 0 OG(Mol)/Kin
G222.651-01.606 C 222.651  -1.606  190   2904.864  2681.221  3167.919                        
G223.765-01.861 K 223.765  -1.861 1100    130.833   118.076   146.638                        
G223.819-02.239 Q 223.819  -2.238  118   1333.139  1233.208  1450.301                        
G224.405-02.740 K 224.405  -2.740  368   1241.320  1182.222  1310.359                        
G224.656-02.525 Q 224.656  -2.524  123   1435.267  1366.769  1514.321                        
G225.470-02.587 K 225.470  -2.586  221   1057.778   984.774  1142.234                        
G230.354-00.597 K 230.354  -0.596  114   6267.271  5468.781  7304.262  7.9 1.6 0 OG/Kin
G237.752-00.958 Q 237.752  -0.958  273   2247.133  2136.617  2369.439                        
G241.525-00.602 Q 241.525  -0.602  100   4280.400  3885.490  4760.265                        
G241.556-00.584 C 241.556  -0.583  112   4543.623  4301.652  4848.319                        
G242.549+01.446 Q 242.549   1.447  120   5254.948  4592.414  6115.272                        
G243.071+00.523 Q 243.071   0.523  160   3313.204  2854.496  3932.941                        
G243.175+00.520 Q 243.175   0.521   88   4140.875  3894.015  4435.702                        
G246.006+01.269 Q 246.006   1.270  188   3685.377  3434.463  3974.476                        
G250.596-00.646 Q 250.596  -0.646  155   5773.087  5195.768  6484.283                        
G254.052-00.564 G 254.052  -0.563  240   4593.256  4211.815  5047.084                        
G254.682+00.220 K 254.683   0.221  385   6539.610  6063.994  7126.442  7.2 1.2 0 OG/Kin
G259.321+01.123 Q 259.322   1.123 1038    997.769   970.672  1026.393                        
G259.359+00.820 C 259.360   0.820  500   1008.983   977.513  1042.507                        
G259.971-00.070 C 259.971  -0.070  547    901.024   881.921   920.957                        
G264.124+01.926 Q 264.124   1.926  269    831.008   811.146   851.847                        
G264.343+01.457 K 264.343   1.457  390   2005.391  1872.289  2158.283                        
G264.681+00.272 C 264.681   0.272  557   2712.154  2514.725  2942.048                        
G266.821-00.653 Q 266.822  -0.652  135   2137.103  2026.131  2260.629                        
G268.057-00.946 K 268.057  -0.946  334   1774.052  1677.506  1882.119                        
G269.174-01.436 K 269.174  -1.436  414   2355.116  2257.022  2480.607                        
G270.423-00.947 C 270.423  -0.947  227   2233.853  2036.472  2472.178                        
G271.601-00.522 Q 271.601  -0.522   97   2687.472  2544.233  2847.378                        
G274.700-01.462 Q 274.700  -1.462  108   2871.020  2698.280  3066.796                        
G282.613-02.397 C 282.613  -2.396  273   2406.112  2293.299  2535.844                        
G282.804-02.540 C 282.804  -2.540  666   2840.229  2632.788  3082.189                        
G283.133-00.607 G 283.133  -0.606  301   2217.159  2038.364  2429.332                        
G283.619-01.549 C 283.619  -1.549  135   4818.456  4404.849  5313.958                        
G285.260-00.051 K 285.260  -0.051  399   4977.259  4509.832  5546.603                        
G285.848-00.988 C 285.848  -0.987  411   3969.272  3833.384  4136.468                        
G286.191+00.173 C 286.191   0.174  153   2590.385  2404.212  2823.224  2.4 0.1 0 TP/Kin(mol)
G286.362-00.297 K 286.362  -0.296  131   2479.768  2306.249  2680.763  2.4 0.1 0 visible/Kin
G286.468-00.358 C 286.468  -0.358  314   2328.723  2192.270  2482.862                        
G287.025-00.321 C 287.025  -0.321  135   3263.163  3005.412  3590.321  2.5 0.1 0 TP/Kin(mol)
G287.247+00.355 K 287.247   0.355  333   2448.482  2278.504  2645.128  2.5 0.1 0 TP/Kin(Mol)
G287.814-00.817 K 287.814  -0.817   80   2615.034  2387.468  2889.082  2.6 0.1 0 TP/Kin
G288.463+00.966 Q 288.463   0.967   99   3352.656  2907.352  3947.750                        
G289.226-00.395 C 289.226  -0.394   82   6657.145  5914.981  7593.853                        
